Plot 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiefe,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Sand,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,88.33,86.67,85.00,83.33,81.67,80.00,82.00,84.00,86.00,88.00,90.00,92.00,92.33,92.67,93.00,93.33,93.67,94.00,94.13,94.27,94.40,94.53,94.67,94.80,94.93,95.07,95.20,95.33,95.47,95.60,95.73,95.87,96.00
Silt,2.00,2.17,2.33,2.50,2.67,2.83,3.00,3.33,3.67,4.00,4.33,4.67,5.00,5.50,6.00,6.50,7.00,7.50,8.00,7.33,6.67,6.00,5.33,4.67,4.00,3.83,3.67,3.50,3.33,3.17,3.00,2.93,2.87,2.80,2.73,2.67,2.60,2.53,2.47,2.40,2.33,2.27,2.20,2.13,2.07,2.00
Clay,8.00,7.83,7.67,7.50,7.33,7.17,7.00,6.67,6.33,6.00,5.67,5.33,5.00,6.17,7.33,8.50,9.67,10.83,12.00,10.67,9.33,8.00,6.67,5.33,4.00,3.83,3.67,3.50,3.33,3.17,3.00,2.93,2.87,2.80,2.73,2.67,2.60,2.53,2.47,2.40,2.33,2.27,2.20,2.13,2.07,2.00
C_org,76.00,74.33,72.67,71.00,69.33,67.67,66.00,57.67,49.33,41.00,32.67,24.33,16.00,14.67,13.33,12.00,10.67,9.33,8.00,6.67,5.33,4.00,2.67,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiefe,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Sand[%],82.00,82.50,83.00,83.50,84.00,84.50,85.00,85.42,85.83,86.25,86.67,87.08,87.50,87.92,88.33,88.75,89.17,89.58,90.00,88.75,87.50,86.25,85.00,83.75,82.50,81.25,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,85.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00
Silt[%],13.00,12.50,12.00,11.50,11.00,10.50,10.00,9.58,9.17,8.75,8.33,7.92,7.50,7.08,6.67,6.25,5.83,5.42,5.00,5.38,5.75,6.13,6.50,6.88,7.25,7.63,8.00,8.25,8.50,8.75,9.00,9.25,9.50,9.75,10.00,7.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Clay[%],5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.88,6.75,7.63,8.50,9.38,10.25,11.13,12.00,11.75,11.50,11.25,11.00,10.75,10.50,10.25,10.00,7.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
C_org[%],0.69,0.67,0.65,0.64,0.62,0.60,0.58,0.54,0.51,0.47,0.43,0.39,0.36,0.32,0.28,0.24,0.21,0.17,0.13,0.11,0.10,0.08,0.07,0.05,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiefe,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Sand[%],81.00,81.67,82.33,83.00,83.67,84.33,85.00,85.36,85.71,86.07,86.43,86.79,87.14,87.50,87.86,88.21,88.57,88.93,89.29,89.64,90.00,85.50,81.00,80.96,80.91,80.87,80.83,80.78,80.74,80.70,80.65,80.61,80.57,80.52,80.48,80.43,80.39,80.35,80.30,80.26,80.22,80.17,80.13,80.09,80.04,80.00
Silt[%],12.00,11.50,11.00,10.50,10.00,9.50,9.00,8.71,8.43,8.14,7.86,7.57,7.29,7.00,6.71,6.43,6.14,5.86,5.57,5.29,5.00,5.50,6.00,6.13,6.26,6.39,6.52,6.65,6.78,6.91,7.04,7.17,7.30,7.43,7.57,7.70,7.83,7.96,8.09,8.22,8.35,8.48,8.61,8.74,8.87,9.00
Clay[%],7.00,6.83,6.67,6.50,6.33,6.17,6.00,5.93,5.86,5.79,5.71,5.64,5.57,5.50,5.43,5.36,5.29,5.21,5.14,5.07,5.00,9.00,13.00,12.91,12.83,12.74,12.65,12.57,12.48,12.39,12.30,12.22,12.13,12.04,11.96,11.87,11.78,11.70,11.61,11.52,11.43,11.35,11.26,11.17,11.09,11.00
C_org[%],0.76,0.74,0.71,0.69,0.67,0.64,0.62,0.59,0.55,0.52,0.48,0.45,0.41,0.38,0.34,0.31,0.27,0.24,0.20,0.17,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
