RUE,transpiration,radiation,biomass,evaporation,water_uptake,shoot_biomass,PotentialGrowth,root_biomass,leaf,storage,ETc,ETo,lai,water_stress,potential_depth,stem,stress,rooting_depth,ActualGrowth
1,442.665209061,3975.8,1708.62120385,164.60698855,207.293219864,1513.56745166,57.864827592,195.053752186,339.32598235,525.966210289,607.272197611,516.784027011,25.6664871841,72.3579886989,9072.0,648.275259025,72.3579886989,4260.64589311,22.4520772535,
2,442.665209061,3975.8,5811.10403116,164.60698855,207.293219864,5272.93819827,206.407681774,538.165832887,1008.54538443,2051.064761,607.272197611,516.784027011,45.4270109714,72.3579886989,9072.0,2213.32805284,72.3579886989,4260.64589311,78.6842291435,
3,442.665209061,3975.8,14278.1561979,164.60698855,207.293219864,13142.8834731,524.761024575,1135.27272486,2228.07432936,5472.32511724,607.272197611,516.784027011,80.692843422,72.3579886989,9072.0,5442.48402647,72.3579886989,4260.64589311,197.076219239,
4,442.665209061,3975.8,28907.1430485,164.534346344,207.293219864,26818.184401,1081.63026104,2088.95864744,4240.26191442,11552.0552527,607.199555404,516.784027011,138.217838315,72.3579886989,9072.0,11025.8672339,72.3579886989,4260.64589311,403.158187722,
5,442.665209061,3975.8,49753.2024645,151.40355702,210.887881767,46329.3947456,1865.36135751,3423.80771886,7196.05182853,20120.1290686,594.06876608,516.784027011,222.367688895,72.2271875474,9072.0,19013.2138485,72.2271875474,4262.46900115,696.513228582,
6,442.665209061,3975.8,92584.948523,85.3164686317,258.759653981,87230.5433201,2769.94299182,5354.40520289,11055.5179763,44704.5659162,527.981677692,516.784027011,332.405666024,60.8209007657,9072.0,31470.4594276,60.8209007657,4586.1778116,1398.72747842,
7,442.665209061,3975.8,126820.795568,83.443879463,262.052179403,119492.696416,3677.87420219,7328.09915212,15615.4279401,60521.8351824,526.109088524,516.784027011,463.1120236,60.4121420957,9072.0,43355.4332935,60.4121420957,4668.56078136,1908.37034185,
8,442.665209061,3975.8,161362.093175,81.1006113713,265.507444413,151963.591877,4530.74516686,9398.50129822,20632.2384464,75901.7856829,523.765820432,516.784027011,607.991608024,59.9556249832,9072.0,55429.5677472,59.9556249832,4747.81077951,2416.59159607,
9,442.665209061,3975.8,192693.725646,79.2082483198,266.124229567,181263.70989,5323.58737744,11430.0157566,25914.7006192,88750.8417481,521.87345738,516.784027011,761.77891172,59.8733486634,9072.0,66598.1675223,59.8733486634,4761.94906934,2869.82427333,
10,442.665209061,3975.8,222404.980869,77.5255420868,266.124229567,208946.393444,6072.21878998,13458.5874254,31343.8260155,100287.061048,520.190751147,516.784027011,921.059324654,59.8733486634,9072.0,77315.5063805,59.8733486634,4761.94906934,3294.31240056,