Time;Pot. biomass;Act. biomass;Pot. growth;Act. growth
01 Jan 1999;0.0;0.0;0.0;0.0
02 Jan 1999;0.0;0.0;0.0;0.0
03 Jan 1999;0.0;0.0;0.0;0.0
04 Jan 1999;0.0;0.0;0.0;0.0
05 Jan 1999;0.0;0.0;0.0;0.0
06 Jan 1999;0.0;0.0;0.0;0.0
07 Jan 1999;0.0;0.0;0.0;0.0
08 Jan 1999;0.0;0.0;0.0;0.0
09 Jan 1999;0.0;0.0;0.0;0.0
10 Jan 1999;0.0;0.0;0.0;0.0
11 Jan 1999;0.0;0.0;0.0;0.0
12 Jan 1999;0.0;0.0;0.0;0.0
13 Jan 1999;0.0;0.0;0.0;0.0
14 Jan 1999;0.0;0.0;0.0;0.0
15 Jan 1999;0.0;0.0;0.0;0.0
16 Jan 1999;0.0;0.0;0.0;0.0
17 Jan 1999;0.0;0.0;0.0;0.0
18 Jan 1999;0.0;0.0;0.0;0.0
19 Jan 1999;0.0;0.0;0.0;0.0
20 Jan 1999;0.0;0.0;0.0;0.0
21 Jan 1999;0.0;0.0;0.0;0.0
22 Jan 1999;0.0;0.0;0.0;0.0
23 Jan 1999;0.0;0.0;0.0;0.0
24 Jan 1999;0.0;0.0;0.0;0.0
25 Jan 1999;0.0;0.0;0.0;0.0
26 Jan 1999;0.0;0.0;0.0;0.0
27 Jan 1999;0.0;0.0;0.0;0.0
28 Jan 1999;0.0;0.0;0.0;0.0
29 Jan 1999;0.0;0.0;0.0;0.0
30 Jan 1999;0.0;0.0;0.0;0.0
31 Jan 1999;0.0;0.0;0.0;0.0
01 Feb 1999;0.0;0.0;0.0;0.0
02 Feb 1999;0.0;0.0;0.0;0.0
03 Feb 1999;0.0;0.0;0.0;0.0
04 Feb 1999;0.0;0.0;0.0;0.0
05 Feb 1999;0.0;0.0;0.0;0.0
06 Feb 1999;0.0;0.0;0.0;0.0
07 Feb 1999;0.0;0.0;0.0;0.0
08 Feb 1999;0.0;0.0;0.0;0.0
09 Feb 1999;0.0;0.0;0.0;0.0
10 Feb 1999;0.0;0.0;0.0;0.0
11 Feb 1999;0.0;0.0;0.0;0.0
12 Feb 1999;0.0;0.0;0.0;0.0
13 Feb 1999;0.0;0.0;0.0;0.0
14 Feb 1999;0.0;0.0;0.0;0.0
15 Feb 1999;0.0;0.0;0.0;0.0
16 Feb 1999;0.0;0.0;0.0;0.0
17 Feb 1999;0.0;0.0;0.0;0.0
18 Feb 1999;0.0;0.0;0.0;0.0
19 Feb 1999;0.0;0.0;0.0;0.0
20 Feb 1999;0.0;0.0;0.0;0.0
21 Feb 1999;0.0;0.0;0.0;0.0
22 Feb 1999;0.0;0.0;0.0;0.0
23 Feb 1999;0.0;0.0;0.0;0.0
24 Feb 1999;0.0;0.0;0.0;0.0
25 Feb 1999;0.0;0.0;0.0;0.0
26 Feb 1999;0.0;0.0;0.0;0.0
27 Feb 1999;0.0;0.0;0.0;0.0
28 Feb 1999;0.0;0.0;0.0;0.0
01 Mar 1999;0.0;0.0;0.0;0.0
02 Mar 1999;0.0;0.0;0.0;0.0
03 Mar 1999;0.0;0.0;0.0;0.0
04 Mar 1999;0.0;0.0;0.0;0.0
05 Mar 1999;0.0;0.0;0.0;0.0
06 Mar 1999;0.0;0.0;0.0;0.0
07 Mar 1999;0.0;0.0;0.0;0.0
08 Mar 1999;0.0;0.0;0.0;0.0
09 Mar 1999;0.0;0.0;0.0;0.0
10 Mar 1999;0.0;0.0;0.0;0.0
11 Mar 1999;0.0;0.0;0.0;0.0
12 Mar 1999;0.0;0.0;0.0;0.0
13 Mar 1999;0.0;0.0;0.0;0.0
14 Mar 1999;0.0;0.0;0.0;0.0
15 Mar 1999;0.0;0.0;0.0;0.0
16 Mar 1999;0.0;0.0;0.0;0.0
17 Mar 1999;0.0;0.0;0.0;0.0
18 Mar 1999;0.0;0.0;0.0;0.0
19 Mar 1999;0.0;0.0;0.0;0.0
20 Mar 1999;0.0;0.0;0.0;0.0
21 Mar 1999;0.0;0.0;0.0;0.0
22 Mar 1999;0.0;0.0;0.0;0.0
23 Mar 1999;0.0;0.0;0.0;0.0
24 Mar 1999;0.0;0.0;0.0;0.0
25 Mar 1999;0.0;0.0;0.0;0.0
26 Mar 1999;0.0;0.0;0.0;0.0
27 Mar 1999;1.01069;0.0;1.01069;0.0
28 Mar 1999;1.87599;0.0;0.865299;0.0
29 Mar 1999;2.9495;0.0;1.07351;0.0
30 Mar 1999;4.21921;0.0;1.26972;0.0
31 Mar 1999;5.55951;0.0;1.3403;0.0
01 Apr 1999;6.71418;0.0;1.15467;0.0
02 Apr 1999;7.2774;0.0;0.563221;0.0
03 Apr 1999;8.14482;0.0;0.867416;0.0
04 Apr 1999;8.91201;0.0;0.767194;0.0
05 Apr 1999;9.57757;0.0;0.66556;0.0
06 Apr 1999;10.1486;0.0;0.570984;0.0
07 Apr 1999;11.5863;0.0;1.43769;0.0
08 Apr 1999;12.7508;0.0;1.16455;0.0
09 Apr 1999;13.4333;0.0;0.682499;0.0
10 Apr 1999;13.9704;0.0;0.537106;0.0
11 Apr 1999;14.8569;0.0;0.886472;0.0
12 Apr 1999;15.5013;0.0;0.644386;0.0
13 Apr 1999;16.0461;0.0;0.54487;0.0
14 Apr 1999;16.6771;0.0;0.630976;0.0
15 Apr 1999;17.5495;0.0;0.872357;0.0
16 Apr 1999;18.7063;1.15679;1.15679;1.15679
17 Apr 1999;19.6444;2.09489;0.938101;0.938101
18 Apr 1999;21.0311;3.48161;1.38672;1.38672
19 Apr 1999;22.1693;4.61982;1.1382;1.1382
20 Apr 1999;23.4181;5.86866;1.24885;1.24885
21 Apr 1999;25.1106;7.41733;1.69246;1.54867
22 Apr 1999;26.3155;8.01848;1.20486;0.60115
23 Apr 1999;28.8526;9.1411;2.53713;1.12261
24 Apr 1999;31.2182;9.40515;2.36564;0.264056
25 Apr 1999;32.4316;9.40515;1.21338;0.0
26 Apr 1999;34.3932;9.54878;1.96158;0.143625
27 Apr 1999;37.6512;12.8068;3.25803;3.25803
28 Apr 1999;41.837;16.9926;4.18581;4.18581
29 Apr 1999;45.4923;20.6479;3.65526;3.65526
30 Apr 1999;51.2084;26.2079;5.71612;5.56001
01 May 1999;58.5359;31.81;7.32747;5.60212
02 May 1999;62.6909;35.965;4.15503;4.15503
03 May 1999;65.9825;39.2567;3.29163;3.29163
04 May 1999;69.523;42.7972;3.54051;3.54051
05 May 1999;74.963;48.2372;5.43998;5.43998
06 May 1999;81.6642;54.9384;6.7012;6.7012
07 May 1999;92.1567;65.4309;10.4925;10.4925
08 May 1999;99.3159;72.5901;7.15922;7.15922
09 May 1999;106.827;80.1007;7.51066;7.51066
10 May 1999;115.057;88.3312;8.23049;8.23049
11 May 1999;126.405;99.6794;11.3481;11.3481
12 May 1999;138.445;111.719;12.0399;12.0399
13 May 1999;153.979;127.253;15.5342;15.5342
14 May 1999;166.713;139.987;12.7334;12.7334
15 May 1999;185.801;159.075;19.0879;19.0879
16 May 1999;205.148;178.422;19.347;19.347
17 May 1999;222.406;194.061;17.2585;15.6393
18 May 1999;233.982;202.625;11.5758;8.56377
19 May 1999;245.088;209.809;11.1063;7.18422
20 May 1999;254.381;215.022;9.29302;5.21283
21 May 1999;274.894;225.451;20.5126;10.4291
22 May 1999;287.538;234.374;12.6443;8.92347
23 May 1999;301.348;246.508;13.81;12.1338
24 May 1999;323.018;263.21;21.6702;16.7015
25 May 1999;345.96;279.075;22.9411;15.8648
26 May 1999;362.757;287.954;16.7971;8.87997
27 May 1999;381.545;299.116;18.7884;11.161
28 May 1999;398.82;307.094;17.2747;7.97808
29 May 1999;414.16;312.716;15.34;5.62241
30 May 1999;433.66;318.462;19.5008;5.7463
31 May 1999;451.429;322.385;17.7685;3.92309
01 Jun 1999;469.327;325.054;17.898;2.66824
02 Jun 1999;482.999;326.469;13.6724;1.41512
03 Jun 1999;492.551;327.131;9.55206;0.662139
04 Jun 1999;505.746;327.715;13.1948;0.584273
05 Jun 1999;520.414;332.465;14.6681;4.74968
06 Jun 1999;532.403;335.828;11.9886;3.36349
07 Jun 1999;544.197;338.546;11.7944;2.71719
08 Jun 1999;561.407;341.816;17.2099;3.27097
09 Jun 1999;581.329;346.205;19.9217;4.38814
10 Jun 1999;599.81;352.33;18.4808;6.12505
11 Jun 1999;611.758;356.289;11.9482;3.95905
12 Jun 1999;631.404;361.835;19.6465;5.54648
13 Jun 1999;652.621;366.948;21.2169;5.11313
14 Jun 1999;665.419;369.715;12.7981;2.76713
15 Jun 1999;686.126;376.393;20.7069;6.67779
16 Jun 1999;703.093;380.399;16.9671;4.00618
17 Jun 1999;721.105;383.748;18.0113;3.34865
18 Jun 1999;737.141;385.783;16.0361;2.03533
19 Jun 1999;754.739;387.18;17.5985;1.39671
20 Jun 1999;769.942;388.206;15.2023;1.0261
21 Jun 1999;783.064;390.143;13.1219;1.93649
22 Jun 1999;799.092;391.818;16.028;1.67491
23 Jun 1999;821.976;393.461;22.8845;1.64363
24 Jun 1999;843.501;394.18;21.5245;0.718825
25 Jun 1999;855.562;394.204;12.0615;0.0235066
26 Jun 1999;869.388;394.204;13.8262;0.0
27 Jun 1999;880.713;394.204;11.3249;0.0
28 Jun 1999;891.091;394.204;10.3777;0.0
29 Jun 1999;905.605;394.204;14.5143;0.0
30 Jun 1999;928.093;394.204;22.4878;0.0
01 Jul 1999;951.188;394.204;23.0949;0.0
02 Jul 1999;967.524;394.35;16.3356;0.146789
03 Jul 1999;988.708;394.852;21.1845;0.50133
04 Jul 1999;997.038;394.852;8.32972;0.0
05 Jul 1999;1009.8;394.852;12.7577;0.0
06 Jul 1999;1021.09;394.852;11.2925;0.0
07 Jul 1999;1035.97;394.852;14.8866;0.0
08 Jul 1999;1051.36;394.852;15.3804;0.0
09 Jul 1999;1069.08;394.852;17.728;0.0
10 Jul 1999;1081.63;403.158;12.5472;8.30648
11 Jul 1999;1081.63;403.158;0.0;0.0
12 Jul 1999;1081.63;403.158;0.0;0.0
13 Jul 1999;1081.63;403.158;0.0;0.0
14 Jul 1999;1081.63;403.158;0.0;0.0
15 Jul 1999;1081.63;403.158;0.0;0.0
16 Jul 1999;1081.63;403.158;0.0;0.0
17 Jul 1999;1081.63;403.158;0.0;0.0
18 Jul 1999;1081.63;403.158;0.0;0.0
19 Jul 1999;1081.63;403.158;0.0;0.0
20 Jul 1999;1081.63;403.158;0.0;0.0
21 Jul 1999;1081.63;403.158;0.0;0.0
22 Jul 1999;1081.63;403.158;0.0;0.0
23 Jul 1999;1081.63;403.158;0.0;0.0
24 Jul 1999;1081.63;403.158;0.0;0.0
25 Jul 1999;1081.63;403.158;0.0;0.0
26 Jul 1999;1081.63;403.158;0.0;0.0
27 Jul 1999;1081.63;403.158;0.0;0.0
28 Jul 1999;1081.63;403.158;0.0;0.0
29 Jul 1999;1081.63;403.158;0.0;0.0
30 Jul 1999;1081.63;403.158;0.0;0.0
31 Jul 1999;1081.63;403.158;0.0;0.0
01 Aug 1999;0.0;0.0;0.0;0.0
02 Aug 1999;0.0;0.0;0.0;0.0
03 Aug 1999;0.0;0.0;0.0;0.0
04 Aug 1999;0.0;0.0;0.0;0.0
05 Aug 1999;0.0;0.0;0.0;0.0
06 Aug 1999;0.0;0.0;0.0;0.0
07 Aug 1999;0.0;0.0;0.0;0.0
08 Aug 1999;0.0;0.0;0.0;0.0
09 Aug 1999;0.0;0.0;0.0;0.0
10 Aug 1999;0.0;0.0;0.0;0.0
11 Aug 1999;0.0;0.0;0.0;0.0
12 Aug 1999;0.0;0.0;0.0;0.0
13 Aug 1999;0.0;0.0;0.0;0.0
14 Aug 1999;0.0;0.0;0.0;0.0
15 Aug 1999;0.0;0.0;0.0;0.0
16 Aug 1999;0.0;0.0;0.0;0.0
17 Aug 1999;0.0;0.0;0.0;0.0
18 Aug 1999;0.0;0.0;0.0;0.0
19 Aug 1999;0.0;0.0;0.0;0.0
20 Aug 1999;0.0;0.0;0.0;0.0
21 Aug 1999;0.0;0.0;0.0;0.0
22 Aug 1999;0.0;0.0;0.0;0.0
23 Aug 1999;0.0;0.0;0.0;0.0
24 Aug 1999;0.0;0.0;0.0;0.0
25 Aug 1999;0.0;0.0;0.0;0.0
26 Aug 1999;0.0;0.0;0.0;0.0
27 Aug 1999;0.0;0.0;0.0;0.0
28 Aug 1999;0.0;0.0;0.0;0.0
29 Aug 1999;0.0;0.0;0.0;0.0
30 Aug 1999;0.0;0.0;0.0;0.0
31 Aug 1999;0.0;0.0;0.0;0.0
01 Sep 1999;0.0;0.0;0.0;0.0
02 Sep 1999;0.0;0.0;0.0;0.0
03 Sep 1999;0.0;0.0;0.0;0.0
04 Sep 1999;0.0;0.0;0.0;0.0
05 Sep 1999;0.0;0.0;0.0;0.0
06 Sep 1999;0.0;0.0;0.0;0.0
07 Sep 1999;0.0;0.0;0.0;0.0
08 Sep 1999;0.0;0.0;0.0;0.0
09 Sep 1999;0.0;0.0;0.0;0.0
10 Sep 1999;0.0;0.0;0.0;0.0
11 Sep 1999;0.0;0.0;0.0;0.0
12 Sep 1999;0.0;0.0;0.0;0.0
13 Sep 1999;0.0;0.0;0.0;0.0
14 Sep 1999;0.0;0.0;0.0;0.0
15 Sep 1999;0.0;0.0;0.0;0.0
16 Sep 1999;0.0;0.0;0.0;0.0
17 Sep 1999;0.0;0.0;0.0;0.0
18 Sep 1999;0.0;0.0;0.0;0.0
19 Sep 1999;0.0;0.0;0.0;0.0
20 Sep 1999;0.0;0.0;0.0;0.0
21 Sep 1999;0.0;0.0;0.0;0.0
22 Sep 1999;0.0;0.0;0.0;0.0
23 Sep 1999;0.0;0.0;0.0;0.0
24 Sep 1999;0.0;0.0;0.0;0.0
25 Sep 1999;0.0;0.0;0.0;0.0
26 Sep 1999;0.0;0.0;0.0;0.0
27 Sep 1999;0.0;0.0;0.0;0.0
28 Sep 1999;0.0;0.0;0.0;0.0
29 Sep 1999;0.0;0.0;0.0;0.0
30 Sep 1999;0.0;0.0;0.0;0.0
01 Oct 1999;0.0;0.0;0.0;0.0
02 Oct 1999;0.0;0.0;0.0;0.0
03 Oct 1999;0.0;0.0;0.0;0.0
04 Oct 1999;0.0;0.0;0.0;0.0
05 Oct 1999;0.0;0.0;0.0;0.0
06 Oct 1999;0.0;0.0;0.0;0.0
07 Oct 1999;0.0;0.0;0.0;0.0
08 Oct 1999;0.0;0.0;0.0;0.0
09 Oct 1999;0.0;0.0;0.0;0.0
10 Oct 1999;0.0;0.0;0.0;0.0
11 Oct 1999;0.0;0.0;0.0;0.0
12 Oct 1999;0.0;0.0;0.0;0.0
13 Oct 1999;0.0;0.0;0.0;0.0
14 Oct 1999;0.0;0.0;0.0;0.0
15 Oct 1999;0.0;0.0;0.0;0.0
16 Oct 1999;0.0;0.0;0.0;0.0
17 Oct 1999;0.0;0.0;0.0;0.0
18 Oct 1999;0.0;0.0;0.0;0.0
19 Oct 1999;0.0;0.0;0.0;0.0
20 Oct 1999;0.0;0.0;0.0;0.0
21 Oct 1999;0.0;0.0;0.0;0.0
22 Oct 1999;0.0;0.0;0.0;0.0
23 Oct 1999;0.0;0.0;0.0;0.0
24 Oct 1999;0.0;0.0;0.0;0.0
25 Oct 1999;0.0;0.0;0.0;0.0
26 Oct 1999;0.0;0.0;0.0;0.0
27 Oct 1999;0.0;0.0;0.0;0.0
28 Oct 1999;0.0;0.0;0.0;0.0
29 Oct 1999;0.0;0.0;0.0;0.0
30 Oct 1999;0.0;0.0;0.0;0.0
31 Oct 1999;0.0;0.0;0.0;0.0
01 Nov 1999;0.0;0.0;0.0;0.0
02 Nov 1999;0.0;0.0;0.0;0.0
03 Nov 1999;0.0;0.0;0.0;0.0
04 Nov 1999;0.0;0.0;0.0;0.0
05 Nov 1999;0.0;0.0;0.0;0.0
06 Nov 1999;0.0;0.0;0.0;0.0
07 Nov 1999;0.0;0.0;0.0;0.0
08 Nov 1999;0.0;0.0;0.0;0.0
09 Nov 1999;0.0;0.0;0.0;0.0
10 Nov 1999;0.0;0.0;0.0;0.0
11 Nov 1999;0.0;0.0;0.0;0.0
12 Nov 1999;0.0;0.0;0.0;0.0
13 Nov 1999;0.0;0.0;0.0;0.0
14 Nov 1999;0.0;0.0;0.0;0.0
15 Nov 1999;0.0;0.0;0.0;0.0
16 Nov 1999;0.0;0.0;0.0;0.0
17 Nov 1999;0.0;0.0;0.0;0.0
18 Nov 1999;0.0;0.0;0.0;0.0
19 Nov 1999;0.0;0.0;0.0;0.0
20 Nov 1999;0.0;0.0;0.0;0.0
21 Nov 1999;0.0;0.0;0.0;0.0
22 Nov 1999;0.0;0.0;0.0;0.0
23 Nov 1999;0.0;0.0;0.0;0.0
24 Nov 1999;0.0;0.0;0.0;0.0
25 Nov 1999;0.0;0.0;0.0;0.0
26 Nov 1999;0.0;0.0;0.0;0.0
27 Nov 1999;0.0;0.0;0.0;0.0
28 Nov 1999;0.0;0.0;0.0;0.0
29 Nov 1999;0.0;0.0;0.0;0.0
30 Nov 1999;0.0;0.0;0.0;0.0
01 Dec 1999;0.0;0.0;0.0;0.0
02 Dec 1999;0.0;0.0;0.0;0.0
03 Dec 1999;0.0;0.0;0.0;0.0
04 Dec 1999;0.0;0.0;0.0;0.0
05 Dec 1999;0.0;0.0;0.0;0.0
06 Dec 1999;0.0;0.0;0.0;0.0
07 Dec 1999;0.0;0.0;0.0;0.0
08 Dec 1999;0.0;0.0;0.0;0.0
09 Dec 1999;0.0;0.0;0.0;0.0
10 Dec 1999;0.0;0.0;0.0;0.0
11 Dec 1999;0.0;0.0;0.0;0.0
12 Dec 1999;0.0;0.0;0.0;0.0
13 Dec 1999;0.0;0.0;0.0;0.0
14 Dec 1999;0.0;0.0;0.0;0.0
15 Dec 1999;0.0;0.0;0.0;0.0
16 Dec 1999;0.0;0.0;0.0;0.0
17 Dec 1999;0.0;0.0;0.0;0.0
18 Dec 1999;0.0;0.0;0.0;0.0
19 Dec 1999;0.0;0.0;0.0;0.0
20 Dec 1999;0.0;0.0;0.0;0.0
21 Dec 1999;0.0;0.0;0.0;0.0
22 Dec 1999;0.0;0.0;0.0;0.0
23 Dec 1999;0.0;0.0;0.0;0.0
24 Dec 1999;0.0;0.0;0.0;0.0
25 Dec 1999;0.0;0.0;0.0;0.0
26 Dec 1999;0.0;0.0;0.0;0.0
27 Dec 1999;0.0;0.0;0.0;0.0
28 Dec 1999;0.0;0.0;0.0;0.0
29 Dec 1999;0.0;0.0;0.0;0.0
30 Dec 1999;0.0;0.0;0.0;0.0
